Key,Value
kind,youtube#videoCategoryListResponse
etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/1v2mrzYSYG6onNLt2qTj13hkQZk"""
items.0.kind,youtube#videoCategory
items.0.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ"""
items.0.id,1
items.0.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.0.snippet.title,Film & Animation
items.0.snippet.assignable,True
items.1.kind,youtube#videoCategory
items.1.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA"""
items.1.id,2
items.1.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.1.snippet.title,Autos & Vehicles
items.1.snippet.assignable,True
items.2.kind,youtube#videoCategory
items.2.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg"""
items.2.id,10
items.2.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.2.snippet.title,Music
items.2.snippet.assignable,True
items.3.kind,youtube#videoCategory
items.3.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI"""
items.3.id,15
items.3.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.3.snippet.title,Pets & Animals
items.3.snippet.assignable,True
items.4.kind,youtube#videoCategory
items.4.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec"""
items.4.id,17
items.4.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.4.snippet.title,Sports
items.4.snippet.assignable,True
items.5.kind,youtube#videoCategory
items.5.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJwVpGCVZ1yiJrqZbpqe68Sy_OE"""
items.5.id,18
items.5.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.5.snippet.title,Short Movies
items.5.snippet.assignable,False
items.6.kind,youtube#videoCategory
items.6.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/M-3iD9dwK7YJCafRf_DkLN8CouA"""
items.6.id,19
items.6.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.6.snippet.title,Travel & Events
items.6.snippet.assignable,True
items.7.kind,youtube#videoCategory
items.7.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WmA0qYEfjWsAoyJFSw2zinhn2wM"""
items.7.id,20
items.7.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.7.snippet.title,Gaming
items.7.snippet.assignable,True
items.8.kind,youtube#videoCategory
items.8.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EapFaGYG7K0StIXVf8aba249tdM"""
items.8.id,21
items.8.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.8.snippet.title,Videoblogging
items.8.snippet.assignable,False
items.9.kind,youtube#videoCategory
items.9.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xId8RX7vRN8rqkbYZbNIytUQDRo"""
items.9.id,22
items.9.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.9.snippet.title,People & Blogs
items.9.snippet.assignable,True
items.10.kind,youtube#videoCategory
items.10.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/G9LHzQmx44rX2S5yaga_Aqtwz8M"""
items.10.id,23
items.10.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.10.snippet.title,Comedy
items.10.snippet.assignable,True
items.11.kind,youtube#videoCategory
items.11.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UVB9oxX2Bvqa_w_y3vXSLVK5E_s"""
items.11.id,24
items.11.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.11.snippet.title,Entertainment
items.11.snippet.assignable,True
items.12.kind,youtube#videoCategory
items.12.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QiLK0ZIrFoORdk_g2l_XR_ECjDc"""
items.12.id,25
items.12.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.12.snippet.title,News & Politics
items.12.snippet.assignable,True
items.13.kind,youtube#videoCategory
items.13.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r6Ck6Z0_L0rG37VJQR200SGNA_w"""
items.13.id,26
items.13.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.13.snippet.title,Howto & Style
items.13.snippet.assignable,True
items.14.kind,youtube#videoCategory
items.14.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EoYkczo9I3RCf96RveKTOgOPkUM"""
items.14.id,27
items.14.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.14.snippet.title,Education
items.14.snippet.assignable,True
items.15.kind,youtube#videoCategory
items.15.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/w5HjcTD82G_XA3xBctS30zS-JpQ"""
items.15.id,28
items.15.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.15.snippet.title,Science & Technology
items.15.snippet.assignable,True
items.16.kind,youtube#videoCategory
items.16.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/lL7uWDr_071CHxifjYG1tJrp4Uo"""
items.16.id,30
items.16.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.16.snippet.title,Movies
items.16.snippet.assignable,False
items.17.kind,youtube#videoCategory
items.17.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WnuVfjO-PyFLO7NTRQIbrGE62nk"""
items.17.id,31
items.17.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.17.snippet.title,Anime/Animation
items.17.snippet.assignable,False
items.18.kind,youtube#videoCategory
items.18.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ctpH2hGA_UZ3volJT_FTlOg9M00"""
items.18.id,32
items.18.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.18.snippet.title,Action/Adventure
items.18.snippet.assignable,False
items.19.kind,youtube#videoCategory
items.19.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ"""
items.19.id,33
items.19.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.19.snippet.title,Classics
items.19.snippet.assignable,False
items.20.kind,youtube#videoCategory
items.20.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/pUZOAC_s9sfiwar639qr_wAB-aI"""
items.20.id,34
items.20.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.20.snippet.title,Comedy
items.20.snippet.assignable,False
items.21.kind,youtube#videoCategory
items.21.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xb5JLhtyNRN3AQq021Ds-OV50Jk"""
items.21.id,35
items.21.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.21.snippet.title,Documentary
items.21.snippet.assignable,False
items.22.kind,youtube#videoCategory
items.22.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/u8WXzF4HIhtEi805__sqjuA4lEk"""
items.22.id,36
items.22.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.22.snippet.title,Drama
items.22.snippet.assignable,False
items.23.kind,youtube#videoCategory
items.23.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/D04PP4Gr7wc4IV_O9G66Z4A8KWQ"""
items.23.id,37
items.23.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.23.snippet.title,Family
items.23.snippet.assignable,False
items.24.kind,youtube#videoCategory
items.24.etag,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i5-_AceGXQCEEMWU0V8CcQm_vLQ"""
items.24.id,38
items.24.snippet.channelId,UCBR8-60-B28hp2BmDPdntcQ
items.24.snippet.title,Foreign
items.24.snippet.assignable,False
items.25.kind,youtube#videoCategory
